Name,Team,Starting season,Power_Index,FR,Events-FR,freshman PPE,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points,PPE
Alyssa Anderson,Boston College,17,69.94,28,3,9.333333333333334,20,3,31,3,23,3,102,8.5
Loren Ball,Boston College,16,35.94,,,0,,,,,,,0,0
Maureen Barron,Boston College,16,8.43,,,0,0,3,0,3,0,3,0,0.0
Bailey Brown,Boston College,17,53.94,,,0,,,,,,,0,0
Catherine Cole,Boston College,17,33.95,,,0,,,,,,,0,0
Samantha Couillard,Boston College,16,39.44,,,0,0,3,,,0,3,0,0.0
Kelly DiStefano,Boston College,15,-1,,,0,,,,,,,0,0
Emily Downs,Boston College,17,21.45,0,3,0.0,0,3,,,,,0,0.0
Rachel Emodi,Boston College,17,-1,,,0,,,,,,,0,0
Annie Fothergill,Boston College,15,33.45,,,0,,,0,3,0,3,0,0.0
Megan Fuqua,Boston College,17,41.59,,,0,,,,,,,0,0
Dana Hadra,Boston College,15,100.00,,,0,,,,,0,2,0,0.0
Kelsey Hawthorne,Boston College,17,38.96,,,0,,,,,,,0,0
Hanna Hunstad,Boston College,17,40.39,,,0,,,,,,,0,0
Madeleine Irwin,Boston College,15,69.94,,,0,,,,,,,0,0
Ann Kearns,Boston College,15,42.69,,,0,,,,,,,0,0
Rainey Kelly,Boston College,14,89.95,,,0,,,,,,,0,0
Abigail Kordell,Boston College,17,44.43,0,3,0.0,0,3,0,4,0,3,0,0.0
Gracie Kunkel,Boston College,17,44.94,0,3,0.0,0,3,0,3,0,3,0,0.0
Corinne Larkin,Boston College,17,100.00,,,0,,,0,2,0,2,0,0.0
Allison Lewandowski,Boston College,15,70.44,,,0,,,,,,,0,0
Allison Lloyd,Boston College,17,38.74,,,0,,,,,,,0,0
Lisa Lopez,Boston College,15,73.94,,,0,,,,,,,0,0
Annie MacKay,Boston College,15,100.00,,,0,,,,,,,0,0
Catherine MacKeen,Boston College,14,73.44,,,0,,,,,,,0,0
Madeline Mailliard,Boston College,17,23.43,0,4,0.0,0,3,0,3,0,3,0,0.0
Elizabeth Mangone,Boston College,16,100.00,,,0,,,,,,,0,0
Caroline Maniscalco,Boston College,14,-1,,,0,,,,,,,0,0
Allie Manning,Boston College,15,100.00,,,0,,,0,4,,,0,0.0
Elizabeth Manning,Boston College,16,38.93,,,0,0,4,0,3,0,4,0,0.0
Caitlin Marks,Boston College,16,37.33,,,0,0,3,,,,,0,0.0
Alison McDonough,Boston College,17,38.80,,,0,,,0,3,0,3,0,0.0
Kelly McGrath,Boston College,15,36.43,,,0,,,0,4,0,3,0,0.0
