Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
174385,Boston College,2014,50 Y Free,Prelims,swim,23.29,+2.3%
174385,Boston College,2014,50 Y Free,Timed Finals,swim,23.24,NA
174385,Boston College,2014,50 Y Free,Timed Finals,swim,23.48,+1.5%
174385,Boston College,2014,100 Y Free,Prelims,swim,51.02,+0.9%
174385,Boston College,2014,100 Y Free,Timed Finals,swim,51.11,NA
174385,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
174385,Boston College,2014,100 Y Breast,Prelims,swim,1:07.39,+4.9%
244826,Boston College,2014,50 Y Free,Prelims,swim,24.15,+1.5%
244826,Boston College,2014,50 Y Free,Timed Finals,swim,23.55,NA
244826,Boston College,2014,100 Y Free,Prelims,swim,52.48,-0.5%
244826,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
244826,Boston College,2014,200 Y Free,Prelims,swim,1:53.59,-1.7%
244826,Boston College,2014,200 Y Free,Timed Finals,swim,1:51.65,+2.1%
79418,Boston College,2014,50 Y Fly,Timed Finals,swim,25.01,NA
79418,Boston College,2014,100 Y Fly,Prelims,swim,56.48,-0.1%
79418,Boston College,2014,100 Y Fly,Timed Finals,swim,55.85,NA
79418,Boston College,2014,200 Y Fly,Prelims,swim,2:05.62,+1.6%
79418,Boston College,2014,200 Y IM,Prelims,swim,2:10.57,+0.5%
124248,Boston College,2014,50 Y Free,Prelims,swim,24.28,+1.3%
124248,Boston College,2014,50 Y Free,Timed Finals,swim,23.57,NA
124248,Boston College,2014,100 Y Free,Prelims,swim,52.80,+0.8%
124248,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
124248,Boston College,2014,100 Y Fly,Timed Finals,swim,57.62,+1.2%
124248,Boston College,2014,100 Y Fly,Prelims,swim,57.85,+0.8%
244824,Boston College,2014,50 Y Breast,Timed Finals,swim,30.66,NA
244824,Boston College,2014,100 Y Breast,Prelims,swim,1:05.89,-0.0%
244824,Boston College,2014,200 Y Breast,Timed Finals,swim,2:22.24,-1.3%
244824,Boston College,2014,200 Y Breast,Prelims,swim,2:21.32,-0.6%
244824,Boston College,2014,200 Y IM,Prelims,swim,2:11.50,-0.0%
149127,Boston College,2014,50 Y Breast,Timed Finals,swim,30.71,NA
149127,Boston College,2014,100 Y Breast,Prelims,swim,1:05.52,-0.3%
149127,Boston College,2014,100 Y Breast,Timed Finals,swim,1:05.67,NA
149127,Boston College,2014,200 Y Breast,Prelims,swim,2:19.75,+1.6%
149127,Boston College,2014,200 Y IM,Prelims,swim,2:10.56,+0.2%
166438,Boston College,2014,50 Y Free,Prelims,swim,24.47,-0.6%
