Name,Team,Starting season,Power_Index,FR,Events-FR,freshman_PPE,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points,PPE
Timothy Benage,Boston College,15,22.44,,,0,,,75,3,18,3,93,15.5
Brett Bonzell,Boston College,17,26.26,0,3,0,,,,,,,0,0
Caleb Bower,Boston College,15,61.95,,,0,,,,,,,0,0
Michael Bryant,Boston College,15,13.42,,,0,,,0,3,,,0,0
Ryan Cahalane,Boston College,15,64.44,,,0,,,,,,,0,0
Jason Castillo,Boston College,15,-1,,,0,,,,,,,0,0
Connor Chamness,Boston College,17,37.93,0,3,0,0,4,0,3,0,3,0,0
Joseph Costa,Boston College,15,18.22,,,0,,,,,,,0,0
Drew Cuttic,Boston College,16,28.39,,,0,0,3,0,3,,,0,0
Joseph Devlin,Boston College,15,77.45,,,0,,,,,,,0,0
Daniel Faugno-Fusci,Boston College,15,-1,,,0,,,,,,,0,0
Kieran Fitzpatrick,Boston College,17,27.26,,,0,,,,,,,0,0
Nicholas Henze,Boston College,15,9.95,,,0,,,0,3,2,3,2,0.333333333
Ryan Herron,Boston College,15,100,,,0,,,,,,,0,0
David Howard,Boston College,17,21.43,0,3,0,0,3,0,3,0,3,0,0
David Hunter,Boston College,16,42.93,,,0,0,3,0,3,0,3,0,0
Robert Johnson,Boston College,14,17.18,,,0,,,,,0,3,0,0
Luke Keffer,Boston College,15,18.94,,,0,,,,,,,0,0
Daniel Kelly,Boston College,16,29.43,,,0,15,3,7,3,16,4,38,3.8
Cole Malatesta,Boston College,17,-1,0,2,0,6,3,10,2,0,2,16,1.777777778
Jack McCarthy,Boston College,17,100,0,2,0,0,2,0,2,0,2,0,0
Richard Mcdonnell,Boston College,17,-1,0,3,0,,,,,,,0,0
Shawn McNiff,Boston College,16,100,,,0,,,,,,,0,0
Sean Murphy,Boston College,15,5.81,,,0,,,1,5,,,1,0.2
Grant Neil,Boston College,14,-1,,,0,,,,,,,0,0
Ryan Reede,Boston College,16,86.45,,,0,,,,,,,0,0
Anthony Richardson,Boston College,17,20.25,3,3,1,0,6,0,4,0,4,3,0.176470588
Alexander Rudolph,Boston College,14,-1,,,0,,,,,0,3,0,0
Kenneth Rudolph,Boston College,15,-1,,,0,,,,,0,3,0,0
David Rusyniak,Boston College,14,-1,,,0,,,,,,,0,0
Estephan Saliba,Boston College,16,24.1,,,0,0,3,0,3,,,0,0
Patrick Scordato,Boston College,14,19.92,,,0,,,,,,,0,0
Patrick Sheerin,Boston College,17,35.28,,,0,,,,,,,0,0
Carter Smith,Boston College,15,31.37,,,0,,,,,,,0,0
Andrew Stranick,Boston College,15,6.92,,,0,,,0,3,4,3,4,0.666666667
Brendan Sweeney,Boston College,16,-1,,,0,,,,,,,0,0
Joshua Williams,Boston College,17,11.9,0,3,0,0,3,0,4,0,4,0,0
Michael Woodbury,Boston College,15,-1,,,0,,,,,,,0,0
Matthew Zerweck,Boston College,16,21.04,,,0,0,3,0,4,0,3,0,0
Aram Barmakian,Boston College,15,21.43,,,0,,,,,,,0,0
Mathew Brennan,Boston College,18,-1,,,0,,,,,,,0,0
Mckenzie Cole,Boston College,18,25.93,,,0,0,4,0,3,0,4,0,0
Ian Cooper,Boston College,15,16.13,,,0,,,,,14,3,14,4.666666667
Daniel Creighton,Boston College,18,28.43,,,0,0,4,0,3,0,4,0,0
Cameron Howe,Boston College,15,59.95,,,0,,,,,,,0,0
Nicolas Junghahn,Boston College,18,23.58,0,4,0,0,3,0,3,0,3,0,0
Joshua Lacey,Boston College,18,23.79,,,0,,,,,,,0,0
Kevin McCoy,Boston College,18,48.93,0,4,0,0,4,0,3,0,6,0,0
John Mooers,Boston College,18,12.07,0,3,0,0,3,0,3,,,0,0
Fernando Saenz Del Villar,Boston College,18,24.22,,,0,,,,,,,0,0
Kyle Zarriello,Boston College,18,39.14,,,0,,,,,,,0,0
Taylor Cortens,Boston College,19,20.77,0,5,0,5,3,4,6,20,5,29,1.526315789
Grant Dalton,Boston College,18,100,,,0,,,,,,,0,0
Colin Derdeyn,Boston College,19,23.69,0,3,0,0,3,0,3,0,3,0,0
Landon Futch,Boston College,19,27.58,,,0,0,3,,,,,0,0
Nathaniel Greeley,Boston College,19,28.42,,,0,,,,,,,0,0
Arthur Hidalgo,Boston College,19,31.68,,,0,,,,,,,0,0
Charles Kleinsmith,Boston College,19,-1,,,0,0,3,0,4,11,4,11,1
Robert McCrory,Boston College,19,100,,,0,,,,,0,2,0,0
Nicholas Miller,Boston College,19,26.92,,,0,0,3,0,4,0,4,0,0
Keating Mosher,Boston College,19,21.67,0,3,0,0,3,,,,,0,0
Denis Reznik,Boston College,19,19.92,,,0,,,,,,,0,0
Jackson Rotondo,Boston College,19,-1,,,0,,,0,2,,,0,0
Matthew Sabal,Boston College,19,39.08,,,0,,,,,,,0,0
Peter Tomljanovic,Boston College,19,40.89,,,0,,,,,,,0,0
Cole Vanderwel,Boston College,19,18.39,0,4,0,,,,,,,0,0
Matthew Amedeo,Boston College,20,26.16,,,0,,,,,,,0,0
Matthew Denave,Boston College,20,32.41,,,0,,,,,,,0,0
Jonathan Farah,Boston College,20,21.9,,,0,,,0,4,0,4,0,0
Sami Fares,Boston College,20,31.26,,,0,,,0,2,0,2,0,0
Brendan Gatward,Boston College,20,22.29,0,3,0,0,4,,,,,0,0
Christian Gillette,Boston College,20,-1,,,0,,,,,,,0,0
Michael Hinton,Boston College,20,14.35,0,3,0,0,3,0,3,0,3,0,0
Evan O'Mara,Boston College,20,-1,,,0,0,3,,,,,0,0
Lucas Saliba,Boston College,20,27.33,,,0,0,4,,,,,0,0
Michael Spence,Boston College,20,41.71,,,0,,,,,,,0,0
Griffin Taylor,Boston College,20,26.54,,,0,,,,,,,0,0
Maxwell Threlkeld,Boston College,20,22.79,,,0,0,4,,,0,3,0,0
Peter Bankes,Boston College,21,36.49,,,0,,,,,,,0,0
Kevin Chandra,Boston College,21,22.89,,,0,0,3,,,,,0,0
Zachary Maher,Boston College,21,22.99,,,0,,,,,,,0,0
Colin O'Leary,Boston College,21,-1,3,4,0.75,0,4,0,3,,,3,0.272727273
Alexander Santana,Boston College,21,13.23,0,4,0,0,3,0,4,,,0,0
Edward Schlehr,Boston College,21,27.24,,,0,,,,,,,0,0
Matthew Shelton,Boston College,21,17.17,0,4,0,0,3,0,3,,,0,0
Peter Shepanzyk,Boston College,21,20.45,0,3,0,0,3,0,2,,,0,0
William Suchy,Boston College,21,19.26,0,4,0,0,3,0,3,,,0,0
Paul Boyce,Boston College,21,25.53,,,0,,,0,3,,,0,0
Oliver Brown,Boston College,22,20.47,,,0,,,,,,,0,0
Talmage Corey,Boston College,22,20.27,,,0,,,,,,,0,0
John Fenton,Boston College,22,20.76,,,0,,,,,,,0,0
Damion Geoghegan Ribeiro,Boston College,22,-1,,,0,0,3,,,,,0,0
Tyler Gruwell,Boston College,22,16.16,0,4,0,,,,,,,0,0
Cole Gvozdas,Boston College,22,18.34,0,3,0,0,4,,,,,0,0
Ryan Price,Boston College,22,16.45,0,3,0,0,3,,,,,0,0
Andrew Revers,Boston College,22,23.83,,,0,,,,,,,0,0
Samuel Roche,Boston College,22,17.1,0,3,0,4,3,,,,,4,0.666666667
Alex Shehab,Boston College,22,20.5,0,2,0,,,,,,,0,0
Matt Clark,Boston College,23,14.62,0,3,0,,,,,,,0,0
Aleksej Cupic,Boston College,23,34.55,,,0,,,,,,,0,0
Ian Fitzpatrick,Boston College,23,24.78,,,0,,,,,,,0,0
Dale Nickerson,Boston College,23,100,0,2,0,,,,,,,0,0
Matthew Szekely,Boston College,23,19.61,0,6,0,,,,,,,0,0
Zach Szmania,Boston College,23,11.33,0,3,0,,,,,,,0,0
Stephan Todorovic,Boston College,23,18.83,0,3,0,,,,,,,0,0
Delaney Brock,Duke University,16,27.07,,,0,,,,,,,0,0
